Name,Straße,PLZ/Stadt,Sterne,Bewertungen
Mensa OTH Regensburg ,Seybothstraße 2,93053 Regensburg,"3,5",21.981
Cafeteria Prüfeninger Straße ,Prüfeninger Straße 58,93049 Regensburg,"3,1",1.002
Mensa Marchstraße ,Marchstraße 23,10587 Berlin,"3,5",62
Mensa Hardenbergstraße ,Hardenbergstraße 34,10623 Berlin,"3,4",1.275
Mensa Karlshorst ,Köpenicker Allee 39-57,10318 Berlin,-,-
Mensa Weißensee ,Bühringstraße 20,13086 Berlin,"3,7",47
Mensa Badensche Straße ,Badensche Straße 50-51,10825 Berlin,"3,5",243
Mensa Oase Adlershof ,Rudower Chaussee 25,12489 Berlin,"3,5",581
Mensa HU Süd ,Unter den Linden 6,10117 Berlin,"3,5",1.243
Mensa HU Nord ,Hannoversche Straße 7,10115 Berlin,"3,7",1.592
Mensa Wilhelminenhof ,Wilhelminenhofstraße 75a,12459 Berlin,"3,3",763
Mensa Campus Friedrich Streib ,Friedrich-Streib-Straße 2,96450 Coburg,"3,6",5.893
Mensa Campus Design ,Am Hofbräuhaus 1,96450 Coburg,"3,2",1.863
Mensa Nürnberger Straße ,Nürnberger Straße 38,95448 Bayreuth,-,-
Mensa Feldkirchenstraße ,Feldkirchenstraße 21,96052 Bamberg,"3,3",4.049
Mensa Universität ,Universitätsstraße 4,86159 Augsburg,"3,5",1.969
Mensa Hochschule ,Friedberger Straße 2,86161 Augsburg,"3,7",1.837
Cafeteria am Brunnenlech ,An der Hochschule 1,86161 Augsburg,"3,3",819
Mensa Austraße ,Austraße 37,96047 Bamberg,"3,4",2.390
Mensa Geschwister-Scholl-Platz ,Geschwister-Scholl-Platz,95445 Bayreuth,"3,6",226
Hauptmensa ,Universitätsstraße 30,95447 Bayreuth,"3,6",17.172
Frischraum ,Universitätsstraße 30,95447 Bayreuth,"3,6",10.869
Mensa Treskowallee ,Treskowallee 8,10318 Berlin,"3,4",413
Mensa HfS Ernst Busch ,Zinnowitzer Straße 11,10115 Berlin,-,-
Mensa Charlottenstraße ,Charlottenstraße 55,10117 Berlin,"3,5",101
Veggie No. 1 ,Van't-Hoff-Straße 6,14195 Berlin,"3,2",607
Mensa Otto-von-Simson-Straße ,Otto-von-Simson-Straße 26,14195 Berlin,"3,4",2.182
Mensa Lankwitz ,Malteserstraße 74,12249 Berlin,"4,2",413
Mensa Koserstraße ,Koserstraße 20,14195 Berlin,"3,0",34
Mensa FU Pharmazie ,Königin-Luise-Straße 2,14195 Berlin,"3,2",133
